source_list,action,scope,ingredient,cas,usage,criteria,source_code,source_version,source_date
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"1,3-Dicloropropeno",542-75-6,Fum,EPP; Riesgo acuático; Vida silvestre; Polinizadores; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"2,4-D, 2-Etilhexil éster",1928-43-4,H,EPP; Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"2,4-D, isooctil éster",53404-37-8,H,EPP; Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Acefato,30560-19-1,"I, A",EPP; Vida silvestre; Polinizadores,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Acequinocilo,57960-19-7,"I, A",Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Acetamiprid,135410-20-7,"I, A",Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,"Acifluorfen, sal sódica",62476-59-9,H,EPP; Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Amitraz,33089-61-1,"I, A",EPP; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Anilazina,101-05-3,Fun,Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Azoxistrobina,131860-33-8,Fun,Riesgo acuático,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Bendiocarb,22781-23-3,"I, A",EPP; Riesgo acuático; Vida silvestre; Polinizadores; Espectador,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Benfluralina,1861-40-1,H,Vida silvestre,A-07-SCRL-B-FA,1.4,
MITIGATE_RISK,REQUIERE_MITIGACION,ROLE_CONFIRMATION_REQUIRED,Benfuracarb,82560-54-1,"I, A",EPP; Riesgo acuático; Vida silvestre; Polinizadores,A-07-SCRL-B-FA,1.4,
